id|symbol|name
1dc10455-1d27-4d1d-baad-c38810965a22|HKIB|AMTD International Inc.
c867d500-0293-4c79-920e-b261b23b33b0|ANIP|ANI Pharmaceuticals, Inc.
d48dfc03-80c7-4054-a3b1-e41bbfe2a92f|ANSS|ANSYS, Inc. Common Stock
9909bb5d-3381-4f5a-aed1-5c9dbae24bec|AR|ANTERO RESOURCES CORPORATION
267f9ea7-eb9a-41cd-946f-5fab57943f0a|ANTM|ANTHEM, INC.
6f825c9d-e839-4539-a64e-cfa7fd71015b|APA|APA Corporation Common Stock
573f1dda-3c90-4c47-90d3-052b6526dc6e|ARI|APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.
206a6bf6-82f4-4a16-ba29-88f9ee0918c2|APG|APi Group Corporation
760af2a5-e132-48ef-8425-835299e05427|ARMK|ARAMARK
f77e37e2-d238-420e-b492-1be1af9b0d05|ARC|ARC Document Solutions, Inc.
bbb266ee-11f5-4d55-b534-7bc00bf04814|ABIO|ARCA biopharma, Inc. Common Stock
4fa13998-eadb-440f-b351-91a251c3ff95|ARCO|ARCOS DORADOS HOLDINGS INC.
d6695dec-cfe9-4be8-981d-ebac8559aede|ASC|ARDMORE SHIPPING CORPORATION
5a6e9e33-2e1c-4b1a-82ec-4ecf46e69cb1|ARR|ARMOUR Residential REIT, Inc.
5cdb627c-4917-4da4-b4d3-22f3a6747aca|APAM|ARTISAN PARTNERS ASSET MANAGEMENT INC.
08233bb4-4948-4d18-b742-294f3b0e9fba|ASX|ASE Technology Holding Co., Ltd.
ebd34bdc-6fff-4555-b1d3-f3537788ae18|ASGN|ASGN Incorporated
ecca9d43-d578-4a37-ae57-ab5b5217c77b|ASLN|ASLAN Pharmaceuticals Limited American Depositary Shares
6082378d-ba94-4bb7-a49e-ebe714131ca8|ASML|ASML Holding N.V. New York Registry Shares
013c1653-577e-4267-8956-3c9d0aa0eca2|AACG|ATA Creativity Global American Depositary Shares
878e3ce9-37d2-4387-9780-1433a27fa444|ATIF|ATIF Holdings Limited Ordinary Shares
bdd15afb-4fca-4932-9542-62aaa42004ae|ATNI|ATN International, Inc. Common Stock
32d4afda-b416-43b4-8135-d453b4e15bf0|AVRO|AVROBIO, Inc. Common Stock
8945fd10-2f7a-45bd-acae-1618cb7235b1|AXTI|AXT Inc Common Stock
03f3e232-179c-41cd-a8da-474f9ff18604|AYRO|AYRO, Inc. Common Stock
bbbe1e51-231e-4428-9dc2-3d2e43cb059f|AZZ|AZZ Inc.
2652df43-e5bd-4504-80f2-4d4d672090bd|ABCL|AbCellera Biologics Inc. Common Shares
a097c03a-7ebe-4de6-b729-a82370cd2a6e|ABT|Abbott Laboratories
9a1adda3-4042-49f6-9cee-8084dd872e22|ABEO|Abeona Therapeutics Inc. Common Stock
d01c9857-0023-4252-acb6-02dfd409159f|ANF|Abercrombie & Fitch Co.
4f8635d9-59c2-4f13-b5f5-a86243fa0ea8|AXAS|Abraxas Petroleum Corporation Common Stock
057ad2b8-3ab2-4a77-90af-a7ecced9fc92|ACTG|Acacia Research Corporation (Acacia Tech) Common Stock
c2218aea-b3d5-4112-9b8b-6a94e4bb276e|ASO|Academy Sports and Outdoors, Inc. Common Stock
ca05c7af-bccb-4818-9c4f-3d1947b04cd9|ACEL|Accel Entertainment, Inc.
368063dc-8a61-4315-aadb-d6c7b8906cb9|AXDX|Accelerate Diagnostics, Inc. Common Stock
d5f2a95f-101c-44ec-b443-3f5f2d61ab48|XLRN|Acceleron Pharma Inc. Common Stock
6eace613-5882-4eca-8635-d1c41ee9e260|ACN|Accenture PLC
681115d1-0667-442c-aa0b-c46e79ec5424|ACCO|Acco Brands Corporation
06786d75-63ad-4a11-9102-a57c824ada09|ACCD|Accolade, Inc. Common Stock
03e488a8-46db-4a17-bd5a-7571f9f48eb1|ARAY|Accuray Incorporated Common Stock
612a1a5f-c931-488a-a65a-3238f685c246|ACRX|AcelRx Pharmaceuticals, Inc. Common Stock
ed5208b3-3a31-4f13-be71-a34742fea2cc|ACER|Acer Therapeutics Inc. Common Stock (DE)
7b73b6ff-3413-46ce-91cc-79f886694810|ACHV|Achieve Life Sciences, Inc. Common Shares
3a353cfc-aca3-470a-b987-588e1f4a9751|ACRS|Aclaris Therapeutics, Inc. Common Stock
c3ee079f-1a30-4fa7-ab1c-36e4631bdd66|ACU|Acme United Corporation
20007fba-2ad3-44a2-83f4-d418b2d8b889|ACOR|Acorda Therapeutics, Inc. Common Stock
85567807-bf3d-4d69-89f3-02e6d34a3860|ATNM|Actinium Pharmaceuticals, Inc
4fd68286-4b8d-4208-a9b6-99d212efd4b9|ATVI|Activision Blizzard, Inc. Common Stock
aeb97d70-a6f7-4602-8330-54b48a626d27|AYI|Acuity Brands, Inc.
5c3b7def-6871-4d48-8006-9a13b84469c6|GOLF|Acushnet Holdings Corp.
e2b082a1-8567-446d-96b7-63f9cad792dc|ADMS|Adamas Pharmaceuticals, Inc. Common Stock
9e2ca5f0-2552-439e-8a8e-bf47e3cc63cc|ADMP|Adamis Pharmaceuticals Corporation Common Stock
e64da5ec-d517-456d-867f-c3c31ea7637a|AE|Adams Resources & Energy Inc.
54583565-a561-472d-85de-a2a30470af64|AHCO|AdaptHealth Corp. Class A Common Stock
6f1d10a7-20ba-4ef0-835c-1313cc7b9ce4|ADAP|Adaptimmune Therapeutics plc American Depositary Shares
6e1ee27c-582e-4d0c-bf03-9dbb4f6cef6a|ADPT|Adaptive Biotechnologies Corporation Common Stock
1099a725-d87f-4e76-916c-2121e03bd592|ADUS|Addus HomeCare Corporation Common Stock
7a75a534-8ede-4fdb-bb75-36ae18bf95a0|ADIL|Adial Pharmaceuticals, Inc Common Stock
dad83fa4-4a87-4204-9ebe-c7f20af76dcc|ACET|Adicet Bio, Inc. Common Stock
05879615-cbcd-48a5-b485-92a524b5d3e8|ADNT|Adient plc Ordinary Shares
7e4b83ca-5fe8-4e51-8e52-17b6d638444f|ADTX|Aditxt, Inc. Common Stock
2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4|ADBE|Adobe Inc. Common Stock
87e72832-4c14-4b98-ad96-de880dd896fb|ATGE|Adtalem Global Education Inc. Common Shares
8e219d9f-7a29-4922-bbb2-3085467b3d5d|ASIX|AdvanSix Inc.
97a9f8e9-7d38-4af3-8053-d7b2e5b9957b|ADES|Advanced Emissions Solutions, Inc. Common Stock
80149eab-4700-4a98-ba25-2fff713c38ca|AEIS|Advanced Energy Industries, Inc. Common Stock
03fb07bb-5db1-4077-8dea-5d711b272625|AMD|Advanced Micro Devices, Inc. Common Stock
3c9a1986-b300-43ea-8c94-80a2c1f9b715|ADXS|Advaxis, Inc. Common Stock
446890a6-e1e3-421d-a4cd-0185d015d45a|ADVM|Adverum Biotechnologies, Inc. Common Stock
d3b26730-a352-406c-95a7-502a8b1c40bc|ACM|Aecom
e47878ce-5e59-4dd1-8e36-e65b38edaf9d|AGLE|Aeglea BioTherapeutics, Inc. Common Stock
93cb6292-56c4-4531-b65e-e92e1dc9d0e5|AEHR|Aehr Test Systems Common Stock
4a29d4bb-3f2c-420a-899b-5351dce8879e|AMTX|Aemetis, Inc. Common Stock
c9910301-f604-49ae-8363-7ac64fea99b3|AERI|Aerie Pharmaceuticals, Inc. Common Stock
66403526-ca48-4efa-aaf1-6dbb847b13d7|ACY|AeroCentury Corporation
e45456c5-9320-4e50-a357-1c0836890c06|AVAV|AeroVironment, Inc. Common Stock
863fe416-e3f9-45c5-a015-efcefb143b1e|AJRD|Aerojet Rocketdyne Holdings, Inc.
22ce7a31-5c8f-42e0-8228-9f0528deeb88|ARPO|Aerpio Pharmaceuticals, Inc. Common Stock
10df661b-bf88-4a66-8c64-d00d6381df8d|AIH|Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
a3aba8b8-cda8-481a-a43f-07bbfe6ea3de|AEMD|Aethlon Medical, Inc. Common Stock
495fe213-8b70-4585-994b-6b8efa4bbfaf|AMG|Affiliated Managers Group
34db7ed0-9b52-436d-a5ed-af53398d6f78|AFMD|Affimed N.V.
c4d1a38e-0f34-481c-b3ad-b5dadf7f4a8f|AFBI|Affinity Bancshares, Inc. Common Stock (MD)
8712d117-2751-4642-9d69-66c0b6a0e780|AFRM|Affirm Holdings, Inc. Class A Common Stock
25335910-dc9d-45fe-bc65-dc6b0ff5e2f4|AFL|Aflac Inc.
ad100351-19bb-4ce4-bcaa-46b7d5cf2cb4|AFYA|Afya Limited Class A Common Shares
1b35d105-28f0-4adc-bf9b-d72ed5640fb2|UAVS|AgEagle Aerial Systems, Inc.
613cb2a6-c53c-4895-a5a3-e8e4dd7d35ce|AGE|AgeX Therapeutics, Inc.
2615330c-97f0-4e90-a3e6-5783ade37d30|AGEN|Agenus Inc. Common Stock
77025d43-80ed-4653-b61a-8c2813a396f0|AGRX|Agile Therapeutics, Inc. Common Stock
7595a8d2-68a6-46d7-910c-6b1958491f5c|A|Agilent Technologies Inc.
b45e789e-a06e-4864-a5e9-0f0daa5d613a|AGYS|Agilysys, Inc. Common Stock
00f336cc-8448-4c78-aba4-be5e38b4b102|AGIO|Agios Pharmaceuticals, Inc. Common Stock
bf77ae8a-037d-4b85-9c13-98d4e347af2e|API|Agora, Inc. American Depositary Shares
165eb374-e115-4dfe-9da7-5963c4056890|ADC|Agree Realty Corporation
